category,parent
fees,
late_payment,fees
foreign_transaction_fee,fees
food,
restaurants,food
fast_food,food
groceries,food
coffee_shop,food
school_food,food
kids,
daycare_preschool,kids
toys,kids
education,
tuition,education
shopping,
clothing,shopping
books,shopping
cosmetics,shopping
gifts,shopping
sport_outdoor_shopping,shopping
subscription,
entertainment,
movies,entertainment
parks,entertainment
auto_transport,
gas,auto_transport
travel,
taxi,travel
air_travel,travel
personal_care,
hair,personal_care
health,
doctor,health
pharmacy,health
home,
furniture,home
business,
pay_card,
bills_utilities,
phone,bills_utilities